LYL62,5,6
LYL277,2,11
LYL113,2,20
LYL159,2,10
LYL219,2,1
LYL200,1,20
LYL288,5,6
LYL223,1,10
LYL200,5,8
LYL122,1,8
LYL167,5,16
LYL64,1,16
LYL198,1,11
LYL255,3,19
LYL45,1,14
LYL46,3,2
LYL79,2,8
LYL189,5,4
LYL71,5,18
LYL119,4,7
LYL84,4,11
LYL73,3,18
LYL126,3,19
LYL80,3,11
LYL34,5,14
LYL165,5,18
LYL216,4,18
LYL202,3,4
LYL206,2,10
LYL186,4,7
LYL59,4,2
LYL65,1,20
LYL61,5,9
LYL39,5,1
LYL90,4,3
LYL87,1,15
LYL135,2,12
LYL259,1,6
LYL283,1,9
LYL135,2,4
LYL43,2,4
LYL187,3,11
LYL164,1,14
LYL93,5,13
LYL116,1,12
LYL129,5,2
LYL167,5,11
LYL53,3,17
LYL184,5,0
LYL134,4,11
